ipc_class_symbol,last_ipc_version,NbAppln
A01D  34/30,2006-01-01,2225
A01D  34/32,2006-01-01,116
A01D  34/33,2006-01-01,200
A01D  34/34,2006-01-01,118
A01D  34/36,2006-01-01,21
A01D  34/37,2006-01-01,58
A01D  34/38,2006-01-01,212
A01D  34/40,2006-01-01,173
A01D  34/404,2006-01-01,185
A01D  34/408,2006-01-01,11
A01D  34/412,2006-01-01,440
A01D  34/416,2006-01-01,2798
A01D  34/42,2006-01-01,1550
A01D  34/43,2006-01-01,770
A01D  34/44,2006-01-01,480
A01D  34/46,2006-01-01,170
A01D  34/47,2006-01-01,854
A01D  34/49,2006-01-01,214
A01D  34/52,2006-01-01,762
A01D  34/53,2006-01-01,421
A01D  34/535,2006-01-01,525
A01D  34/54,2006-01-01,527
A01D  34/56,2006-01-01,181
A01D  34/57,2006-01-01,34
A01D  34/58,2006-01-01,177
A01D  34/60,2006-01-01,84
A01D  34/62,2006-01-01,992
A01D  34/63,2006-01-01,5620
A01D  34/64,2006-01-01,3690
A01D  34/66,2006-01-01,4255
A01D  34/67,2006-01-01,682
A01D  34/68,2006-01-01,7205
A01D  34/685,2006-01-01,370
A01D  34/69,2006-01-01,393
A01D  34/695,2006-01-01,224
A01D  34/71,2006-01-01,614
A01D  34/73,2006-01-01,5825
A01D  34/74,2006-01-01,1629
A01D  34/76,2006-01-01,2789
A01D  34/77,2006-01-01,50
A01D  34/78,2006-01-01,822
A01D  34/80,2006-01-01,145
A01D  34/81,2006-01-01,802
A01D  34/82,2006-01-01,2362
A01D  34/83,2006-01-01,632
A01D  34/835,2006-01-01,650
A01D  34/84,2006-01-01,1211
A01D  34/86,2006-01-01,1963
A01D  34/90,2006-01-01,1341
A01D  37/00,2006-01-01,1914
A01D  37/02,2006-01-01,322
A01D  37/04,2006-01-01,125
A01D  37/06,2006-01-01,12
A01D  39/00,2006-01-01,838
A01D  41/00,2006-01-01,5580
A01D  41/02,2006-01-01,4606
A01D  41/04,2006-01-01,726
A01D  41/06,2006-01-01,808
A01D  41/08,2006-01-01,591
A01D  41/10,2006-01-01,272
A01D  41/12,2006-01-01,10218
A01D  41/127,2006-01-01,3657
A01D  41/133,2006-01-01,78
A01D  41/14,2006-01-01,3101
A01D  41/16,2006-01-01,377
A01D  42/00,2006-01-01,444
A01D  42/02,2006-01-01,77
A01D  42/04,2006-01-01,168
A01D  42/06,2006-01-01,128
A01D  42/08,2006-01-01,85
A01D  43/00,2006-01-01,1833
A01D  43/02,2006-01-01,440
A01D  43/04,2006-01-01,162
A01D  43/06,2006-01-01,1274
A01D  43/063,2006-01-01,2212
A01D  43/07,2006-01-01,183
A01D  43/073,2006-01-01,243
A01D  43/077,2006-01-01,772
A01D  43/08,2006-01-01,4911
A01D  43/10,2006-01-01,2041
A01D  43/12,2006-01-01,236
A01D  43/14,2006-01-01,351
A01D  43/16,2006-01-01,273
A01D  44/00,2010-01-01,1403
A01D  44/02,2006-01-01,420
A01D  45/00,2006-01-01,4332
A01D  45/02,2006-01-01,6338
A01D  45/04,2006-01-01,261
A01D  45/06,2006-01-01,1154
A01D  45/10,2006-01-01,2845
A01D  45/16,2006-01-01,996
A01D  45/22,2006-01-01,1113
A01D  45/24,2006-01-01,328
A01D  45/26,2006-01-01,844
A01D  45/28,2006-01-01,142
A01D  45/30,2006-01-01,436
A01D  46/00,2009-01-01,4056
A01D  46/02,2006-01-01,590
A01D  46/04,2006-01-01,1901
A01D  46/06,2006-01-01,273
A01D  46/08,2006-01-01,1634
A01D  46/10,2006-01-01,634
A01D  46/12,2006-01-01,294
A01D  46/14,2006-01-01,1140
A01D  46/16,2006-01-01,543
A01D  46/18,2006-01-01,157
A01D  46/20,2006-01-01,660
A01D  46/22,2006-01-01,1369
A01D  46/24,2006-01-01,2858
A01D  46/247,2006-01-01,2187
A01D  46/253,2006-01-01,462
A01D  46/26,2006-01-01,2656
A01D  46/28,2006-01-01,1565
A01D  46/30,2006-01-01,498
A01D  47/00,2006-01-01,1169
A01D  51/00,2006-01-01,2106
A01D  57/00,2009-01-01,3945
A01D  57/01,2006-01-01,455
A01D  57/02,2006-01-01,1197
A01D  57/03,2006-01-01,279
A01D  57/04,2006-01-01,630
A01D  57/05,2006-01-01,17
A01D  57/06,2006-01-01,144
A01D  57/08,2006-01-01,19
A01D  57/10,2006-01-01,91
A01D  57/12,2006-01-01,202
A01D  57/14,2006-01-01,38
A01D  57/16,2006-01-01,75
A01D  57/18,2006-01-01,135
A01D  57/20,2006-01-01,994
A01D  57/22,2006-01-01,3601
A01D  57/24,2006-01-01,852
A01D  57/26,2006-01-01,506
A01D  57/28,2006-01-01,131
A01D  57/30,2006-01-01,379
A01D  59/00,2006-01-01,2592
A01D  59/02,2006-01-01,377
A01D  59/04,2006-01-01,619
A01D  59/06,2006-01-01,204
A01D  59/08,2006-01-01,268
A01D  59/10,2006-01-01,46
A01D  59/12,2006-01-01,440
A01D  59/14,2006-01-01,26
A01D  61/00,2006-01-01,7097
A01D  61/02,2006-01-01,401
A01D  61/04,2006-01-01,414
A01D  63/00,2006-01-01,969
A01D  63/02,2006-01-01,902
A01D  63/04,2006-01-01,1078
A01D  65/00,2006-01-01,395
A01D  65/02,2006-01-01,463
A01D  65/04,2006-01-01,95
A01D  65/06,2006-01-01,46
A01D  65/08,2006-01-01,96
A01D  67/00,2006-01-01,8758
A01D  67/02,2006-01-01,604
A01D  67/04,2006-01-01,454
A01D  69/00,2006-01-01,8829
A01D  69/02,2006-01-01,1395
A01D  69/03,2006-01-01,727
A01D  69/06,2006-01-01,2991
A01D  69/08,2006-01-01,1248
A01D  69/10,2006-01-01,497
A01D  69/12,2006-01-01,647
A01D  75/00,2006-01-01,3065
A01D  75/02,2006-01-01,448
A01D  75/04,2006-01-01,376
A01D  75/06,2006-01-01,709
A01D  75/08,2006-01-01,238
A01D  75/10,2006-01-01,34
A01D  75/12,2006-01-01,19
A01D  75/16,2006-01-01,120
A01D  75/18,2006-01-01,2794
A01D  75/20,2006-01-01,1740
A01D  75/24,2006-01-01,54
A01D  75/26,2006-01-01,115
A01D  75/28,2006-01-01,1032
A01D  75/30,2006-01-01,900
A01D  76/00,2006-01-01,691
A01D  78/00,2009-01-01,3264
A01D  78/02,2006-01-01,650
A01D  78/04,2006-01-01,33
A01D  78/06,2006-01-01,314
A01D  78/08,2006-01-01,504
A01D  78/10,2006-01-01,3854
A01D  78/12,2006-01-01,883
A01D  78/14,2006-01-01,148
A01D  78/16,2006-01-01,170
A01D  78/18,2006-01-01,19
A01D  78/20,2006-01-01,3
A01D  80/00,2006-01-01,1209
A01D  80/02,2006-01-01,406
A01D  82/00,2006-01-01,2492
A01D  82/02,2006-01-01,204
A01D  84/00,2006-01-01,643
A01D  84/02,2006-01-01,119
A01D  85/00,2009-01-01,1730
A01D  87/00,2006-01-01,2497
A01D  87/02,2006-01-01,627
A01D  87/04,2006-01-01,36
A01D  87/06,2006-01-01,103
A01D  87/08,2006-01-01,366
A01D  87/10,2006-01-01,771
A01D  87/12,2006-01-01,2476
A01D  89/00,2006-01-01,2852
A01D  90/00,2006-01-01,2022
A01D  90/02,2006-01-01,1323
A01D  90/04,2006-01-01,958
A01D  90/06,2006-01-01,170
A01D  90/08,2006-01-01,1561
A01D  90/10,2006-01-01,1567
A01D  90/12,2006-01-01,931
A01D  90/14,2006-01-01,219
A01D  90/16,2006-01-01,63
A01D  91/00,2006-01-01,441
A01D  91/02,2006-01-01,329
A01D  91/04,2006-01-01,776
A01D  93/00,2009-01-01,276
A01D 101/00,2006-01-01,646
A01F,2009-01-01,1749
A01F   1/00,2006-01-01,253
A01F   1/02,2006-01-01,127
A01F   1/04,2006-01-01,68
A01F   1/06,2006-01-01,122
A01F   3/00,2006-01-01,122
A01F   5/00,2006-01-01,294
A01F   7/00,2006-01-01,2114
A01F   7/02,2006-01-01,702
A01F   7/04,2006-01-01,656
A01F   7/06,2006-01-01,1627
A01F   7/70,2010-01-01,77
A01F   9/00,2006-01-01,1
A01F  11/00,2006-01-01,1702
A01F  11/02,2006-01-01,150
A01F  11/04,2006-01-01,151
A01F  11/06,2006-01-01,3088
A01F  11/08,2006-01-01,59
A01F  12/00,2006-01-01,7668
A01F  12/10,2006-01-01,5344
A01F  12/12,2006-01-01,316
A01F  12/14,2006-01-01,211
A01F  12/16,2006-01-01,994
A01F  12/18,2006-01-01,5566
A01F  12/20,2006-01-01,872
A01F  12/22,2006-01-01,1842
A01F  12/24,2006-01-01,1645
A01F  12/26,2006-01-01,397
A01F  12/28,2006-01-01,585
A01F  12/30,2006-01-01,1628
A01F  12/32,2006-01-01,3840
A01F  12/34,2006-01-01,239
A01F  12/36,2006-01-01,86
A01F  12/38,2006-01-01,142
A01F  12/385,2006-01-01,55
A01F  12/39,2006-01-01,263
A01F  12/395,2006-01-01,26
A01F  12/40,2006-01-01,5700
A01F  12/42,2006-01-01,268
A01F  12/44,2006-01-01,8457
A01F  12/46,2006-01-01,8039
A01F  12/48,2006-01-01,1368
A01F  12/50,2006-01-01,3538
A01F  12/52,2006-01-01,2353
A01F  12/54,2006-01-01,2695
A01F  12/56,2006-01-01,2130
A01F  12/58,2006-01-01,367
A01F  12/60,2006-01-01,3062
A01F  13/00,2006-01-01,102
A01F  15/00,2006-01-01,2106
A01F  15/02,2006-01-01,594
A01F  15/04,2006-01-01,1306
A01F  15/06,2006-01-01,56
A01F  15/07,2006-01-01,4198
A01F  15/08,2006-01-01,4043
A01F  15/10,2006-01-01,2208
A01F  15/12,2006-01-01,511
A01F  15/14,2006-01-01,2260
A01F  15/16,2006-01-01,49
A01F  15/18,2006-01-01,251
A01F  17/00,2006-01-01,801
A01F  17/02,2006-01-01,2695
A01F  17/04,2006-01-01,70
A01F  19/00,2006-01-01,52
A01F  21/00,2006-01-01,390
A01F  25/00,2010-01-01,6014
A01F  25/02,2006-01-01,363
A01F  25/04,2006-01-01,379
A01F  25/08,2006-01-01,1130
A01F  25/10,2006-01-01,133
A01F  25/12,2006-01-01,809
A01F  25/13,2006-01-01,703
A01F  25/14,2006-01-01,3734
A01F  25/16,2006-01-01,1692
A01F  25/18,2006-01-01,692
A01F  25/20,2006-01-01,3230
A01F  25/22,2006-01-01,870
A01F  29/00,2006-01-01,4493
A01F  29/01,2006-01-01,276
A01F  29/02,2006-01-01,1749
A01F  29/04,2006-01-01,1217
A01F  29/06,2006-01-01,1169
A01F  29/08,2006-01-01,338
A01F  29/09,2010-01-01,2038
A01F  29/10,2006-01-01,1683
A01F  29/12,2006-01-01,1045
A01F  29/14,2006-01-01,758
A01F  29/16,2006-01-01,453
A01F  29/18,2006-01-01,126
A01F  29/22,2006-01-01,294
A01G,2010-01-01,5930
A01G   1/00,2010-01-01,42276
A01G   1/02,2006-01-01,390
A01G   1/04,2006-01-01,18089
A01G   1/06,2006-01-01,5297
A01G   1/08,2006-01-01,2252
A01G   1/12,2006-01-01,3241
A01G   3/00,2010-01-01,3114
A01G   3/02,2006-01-01,3985
A01G   3/025,2006-01-01,1729
A01G   3/033,2006-01-01,1099
A01G   3/037,2006-01-01,578
A01G   3/04,2006-01-01,2838
A01G   3/047,2006-01-01,463
A01G   3/053,2006-01-01,1812
A01G   3/06,2006-01-01,2553
A01G   3/08,2006-01-01,4895
A01G   5/00,2006-01-01,1204
A01G   5/02,2006-01-01,641
A01G   5/04,2006-01-01,2463
A01G   5/06,2006-01-01,1650
A01G   7/00,2010-01-01,17233
A01G   7/02,2006-01-01,1408
A01G   7/04,2006-01-01,4757
A01G   7/06,2006-01-01,10590
A01G   9/00,2010-01-01,11478
A01G   9/02,2006-01-01,41892
A01G   9/04,2006-01-01,2108
A01G   9/06,2006-01-01,2614
A01G   9/08,2006-01-01,3146
A01G   9/10,2006-01-01,15654
A01G   9/12,2006-01-01,7360
A01G   9/14,2006-01-01,22496
A01G   9/16,2006-01-01,3212
A01G   9/18,2006-01-01,1348
A01G   9/20,2006-01-01,4420
A01G   9/22,2006-01-01,4555
A01G   9/24,2006-01-01,18981
A01G   9/26,2006-01-01,2472
A01G  11/00,2006-01-01,753
A01G  13/00,2009-01-01,12788
A01G  13/02,2006-01-01,18930
A01G  13/04,2006-01-01,2221
A01G  13/06,2006-01-01,1743
A01G  13/08,2006-01-01,377
A01G  13/10,2006-01-01,3247
A01G  15/00,2009-01-01,2151
A01G  16/00,2006-01-01,2450
A01G  17/00,2010-01-01,7003
A01G  17/02,2006-01-01,1864
A01G  17/04,2006-01-01,1228
A01G  17/06,2006-01-01,1638
A01G  17/08,2006-01-01,1630
A01G  17/10,2006-01-01,1147
A01G  17/12,2006-01-01,569
A01G  17/14,2006-01-01,2647
A01G  17/16,2006-01-01,413
A01G  17/18,2006-01-01,156
A01G  23/00,2010-01-01,5898
A01G  23/02,2006-01-01,1304
A01G  23/04,2006-01-01,3813
A01G  23/06,2006-01-01,3068
A01G  23/08,2006-01-01,3737
A01G  23/081,2006-01-01,418
A01G  23/083,2006-01-01,815
A01G  23/085,2006-01-01,247
A01G  23/087,2006-01-01,348
A01G  23/089,2006-01-01,264
A01G  23/09,2006-01-01,47
A01G  23/091,2006-01-01,1026
A01G  23/093,2006-01-01,584
A01G  23/095,2006-01-01,860
A01G  23/097,2006-01-01,609
A01G  23/099,2006-01-01,642
A01G  23/10,2006-01-01,779
A01G  23/12,2006-01-01,331
A01G  23/14,2006-01-01,391
A01G  25/00,2009-01-01,9998
A01G  25/02,2006-01-01,11528
A01G  25/06,2006-01-01,3937
A01G  25/09,2006-01-01,6871
A01G  25/14,2006-01-01,1758
A01G  25/16,2006-01-01,9350
A01G  27/00,2009-01-01,9842
A01G  27/02,2006-01-01,5331
A01G  27/04,2006-01-01,2353
A01G  27/06,2006-01-01,3043
A01G  29/00,2006-01-01,2549
A01G  31/00,2006-01-01,18242
A01G  31/02,2006-01-01,10379
A01G  31/04,2006-01-01,1477
A01G  31/06,2006-01-01,3495
A01G  33/00,2010-01-01,4197
A01G  33/02,2006-01-01,2349
A01H,2010-01-01,1676
A01H   1/00,2009-01-01,20597
A01H   1/02,2006-01-01,14175
A01H   1/04,2006-01-01,6988
A01H   1/06,2006-01-01,2642
A01H   1/08,2006-01-01,722
A01H   3/00,2009-01-01,1278
A01H   3/02,2006-01-01,246
A01H   3/04,2006-01-01,1010
A01H   4/00,2009-01-01,16759
A01H   5/00,2010-01-01,69700
A01H   5/02,2006-01-01,11851
A01H   5/04,2006-01-01,739
A01H   5/06,2006-01-01,728
A01H   5/08,2006-01-01,4248
A01H   5/10,2006-01-01,20048
