ipc_class_level	ancestor	parent	ipc_version
A01B  63/10	A01B63/02	A	2017.01
A01B  63/102	A01B63/10	A	2017.01
A01B  63/104	A01B63/102	A	2017.01
A01B  63/106	A01B63/102	A	2017.01
A01B  63/108	A01B63/102	A	2017.01
A01B  63/11	A01B63/10	A	2017.01
A01B  63/111	A01B63/10	A	2017.01
A01B  63/112	A01B63/111	A	2017.01
A01B  63/114	A01B63/111	A	2017.01
A01B  63/118	A01B63/10	A	2017.01
A01B  63/12	A01B63/02	A	2017.01
A01B  63/14	A01B63/00	A	2017.01
A01B  63/16	A01B63/14	A	2017.01
A01B  63/18	A01B63/16	A	2017.01
A01B  63/20	A01B63/16	A	2017.01
A01B  63/22	A01B63/16	A	2017.01
A01B  63/24	A01B63/14	A	2017.01
A01B  63/26	A01B63/24	A	2017.01
A01B  63/28	A01B63/24	A	2017.01
A01B  63/30	A01B63/24	A	2017.01
A01B  63/32	A01B63/24	A	2017.01
A01B  67/00	A01B	A	2017.01
A01B  69/00	A01B	A	2017.01
A01B  69/02	A01B69/00	A	2017.01
A01B  69/04	A01B69/00	A	2017.01
A01B  69/06	A01B69/00	A	2017.01
A01B  69/08	A01B69/00	A	2017.01
A01B  71/00	A01B	A	2017.01
A01B  71/02	A01B71/00	A	2017.01
A01B  71/04	A01B71/00	A	2017.01
A01B  71/06	A01B71/00	A	2017.01
A01B  71/08	A01B71/00	A	2017.01
A01B  73/00	A01B	A	2017.01
A01B  73/02	A01B73/00	A	2017.01
A01B  73/04	A01B73/02	A	2017.01
A01B  73/06	A01B73/02	A	2017.01
A01B  75/00	A01B	A	2017.01
A01B  76/00	A01B	A	2017.01
A01B  77/00	A01B	A	2017.01
A01B  79/00	A01B	A	2017.01
A01B  79/02	A01B79/00	A	2017.01
A01C	A01C	A	2017.01
A01C   1/00	A01C	A	2017.01
A01C   1/02	A01C1/00	A	2017.01
A01C   1/04	A01C1/00	A	2017.01
A01C   1/06	A01C1/00	A	2017.01
A01C   1/08	A01C1/00	A	2017.01
A01C   3/00	A01C	A	2017.01
A01C   3/02	A01C3/00	A	2017.01
A01C   3/04	A01C3/00	A	2017.01
A01C   3/06	A01C3/00	A	2017.01
A01C   3/08	A01C3/06	A	2017.01
A01C   5/00	A01C	A	2017.01
A01C   5/02	A01C5/00	A	2017.01
A01C   5/04	A01C5/00	A	2017.01
A01C   5/06	A01C5/00	A	2017.01
A01C   5/08	A01C5/00	A	2017.01
A01C   7/00	A01C	A	2017.01
A01C   7/02	A01C7/00	A	2017.01
A01C   7/04	A01C7/00	A	2017.01
A01C   7/06	A01C7/00	A	2017.01
A01C   7/08	A01C7/00	A	2017.01
A01C   7/10	A01C7/08	A	2017.01
A01C   7/12	A01C7/08	A	2017.01
A01C   7/14	A01C7/12	A	2017.01
A01C   7/16	A01C7/08	A	2017.01
A01C   7/18	A01C7/00	A	2017.01
A01C   7/20	A01C7/00	A	2017.01
A01C   9/00	A01C	A	2017.01
A01C   9/02	A01C9/00	A	2017.01
A01C   9/04	A01C9/00	A	2017.01
A01C   9/06	A01C9/00	A	2017.01
A01C   9/08	A01C9/00	A	2017.01
A01C  11/00	A01C	A	2017.01
A01C  11/02	A01C11/00	A	2017.01
A01C  11/04	A01C11/00	A	2017.01
A01C  13/00	A01C	A	2017.01
A01C  14/00	A01C	A	2017.01
A01C  15/00	A01C	A	2017.01
A01C  15/02	A01C15/00	A	2017.01
A01C  15/04	A01C15/00	A	2017.01
A01C  15/06	A01C15/00	A	2017.01
A01C  15/08	A01C15/06	A	2017.01
A01C  15/10	A01C15/08	A	2017.01
