ipc_code	ancestor	parent	ipc_version
A01D  59/10	A01D0059000000	A	2016.01
A01D  59/12	A01D0059000000	A	2016.01
A01D  59/14	A01D0059000000	A	2016.01
A01D  61/00		A	2016.01
A01D  61/02	A01D0061000000	A	2016.01
A01D  61/04	A01D0061000000	A	2016.01
A01D  63/00		A	2016.01
A01D  63/02	A01D0063000000	A	2016.01
A01D  63/04	A01D0063000000	A	2016.01
A01D  65/00		A	2016.01
A01D  65/02	A01D0065000000	A	2016.01
A01D  65/04	A01D0065000000	A	2016.01
A01D  65/06	A01D0065000000	A	2016.01
A01D  65/08	A01D0065000000	A	2016.01
A01D  67/00		A	2016.01
A01D  67/02	A01D0067000000	A	2016.01
A01D  67/04	A01D0067000000	A	2016.01
A01D  69/00		A	2016.01
A01D  69/02	A01D0069000000	A	2016.01
A01D  69/03	A01D0069000000	A	2016.01
A01D  69/06	A01D0069000000	A	2016.01
A01D  69/08	A01D0069000000	A	2016.01
A01D  69/10	A01D0069000000	A	2016.01
A01D  69/12	A01D0069000000	A	2016.01
A01D  75/00		A	2016.01
A01D  75/02	A01D0075000000	A	2016.01
A01D  75/04	A01D0075000000	A	2016.01
A01D  75/06	A01D0075000000	A	2016.01
A01D  75/08	A01D0075000000	A	2016.01
A01D  75/10	A01D0075000000	A	2016.01
A01D  75/12	A01D0075000000	A	2016.01
A01D  75/16	A01D0075000000	A	2016.01
A01D  75/18	A01D0075000000	A	2016.01
A01D  75/20	A01D0075000000	A	2016.01
A01D  75/24	A01D0075000000	A	2016.01
A01D  75/26	A01D0075000000	A	2016.01
A01D  75/28	A01D0075000000	A	2016.01
A01D  75/30	A01D0075000000	A	2016.01
A01D  76/00		A	2016.01
A01D  78/00		A	2016.01
A01D  78/02	A01D0078000000	A	2016.01
A01D  78/04	A01D0078020000	A	2016.01
A01D  78/06	A01D0078000000	A	2016.01
A01D  78/08	A01D0078000000	A	2016.01
A01D  78/10	A01D0078080000	A	2016.01
A01D  78/12	A01D0078100000	A	2016.01
A01D  78/14	A01D0078080000	A	2016.01
A01D  78/16	A01D0078140000	A	2016.01
A01D  78/18	A01D0078000000	A	2016.01
A01D  78/20	A01D0078180000	A	2016.01
A01D  80/00		A	2016.01
A01D  80/02	A01D0080000000	A	2016.01
A01D  82/00		A	2016.01
A01D  82/02	A01D0082000000	A	2016.01
A01D  84/00		A	2016.01
A01D  84/02	A01D0084000000	A	2016.01
A01D  85/00		A	2016.01
A01D  87/00		A	2016.01
A01D  87/02	A01D0087000000	A	2016.01
A01D  87/04	A01D0087020000	A	2016.01
A01D  87/06	A01D0087000000	A	2016.01
A01D  87/08	A01D0087000000	A	2016.01
A01D  87/10	A01D0087000000	A	2016.01
A01D  87/12	A01D0087000000	A	2016.01
A01D  89/00		A	2016.01
A01D  90/00		A	2016.01
A01D  90/02	A01D0090000000	A	2016.01
A01D  90/04	A01D0090020000	A	2016.01
A01D  90/06	A01D0090040000	A	2016.01
A01D  90/08	A01D0090020000	A	2016.01
A01D  90/10	A01D0090000000	A	2016.01
A01D  90/12	A01D0090000000	A	2016.01
A01D  90/14	A01D0090000000	A	2016.01
A01D  90/16	A01D0090000000	A	2016.01
A01D  91/00		A	2016.01
A01D  91/02	A01D0091000000	A	2016.01
A01D  91/04	A01D0091000000	A	2016.01
A01D  93/00		A	2016.01
A01D 101/00		A	2016.01
A01F   1/00		A	2016.01
A01F   1/02	A01F0001000000	A	2016.01
A01F   1/04	A01F0001000000	A	2016.01
A01F   1/06	A01F0001000000	A	2016.01
A01F   3/00		A	2016.01
A01F   5/00		A	2016.01
A01F   7/00		A	2016.01
A01F   7/02	A01F0007000000	A	2016.01
A01F   7/04	A01F0007020000	A	2016.01
A01F   7/06	A01F0007020000	A	2016.01
A01F   7/70	A01F0007000000	A	2016.01
A01F  11/00		A	2016.01
A01F  11/02	A01F0011000000	A	2016.01
A01F  11/04	A01F0011000000	A	2016.01
A01F  11/06	A01F0011000000	A	2016.01
A01F  11/08	A01F0011000000	A	2016.01
A01F  12/00		A	2016.01
A01F  12/10	A01F0012000000	A	2016.01
A01F  12/12	A01F0012100000	A	2016.01
